OBJECTID,TRACT,GEOID,Total,White,Black,Native,Asian,Hispanic,ACRES,SQ_MILES,Shape_Leng,Shape_Area
43,tract9102,11001009102,4127,117,3820,11,13,173,453.5039912,0.70859999,6339.304691,1835265.55
44,tract9201,11001009201,1976,737,1019,4,51,185,158.3379306,0.24740302,3334.446804,640770.8751
45,tract9203,11001009203,2582,280,2117,7,40,167,145.121157,0.22675181,3471.344052,587284.4895
46,tract9204,11001009204,2557,170,2062,25,14,318,74.8843334,0.11700677,2526.496186,303046.1473
47,tract7200,11001007200,2794,1670,862,4,144,155,405.6675025,0.63385548,5365.257137,1641678.148
48,tract7301,11001007301,3012,1791,767,21,110,391,2439.892023,3.81233131,17862.98847,9873892.762
49,tract7304,11001007304,3546,41,3443,10,7,38,308.98569,0.48279014,5527.038453,1250420.731
50,tract7401,11001007401,2414,17,2349,10,5,31,357.7377754,0.55896528,6378.842229,1447713.423
51,tract7403,11001007403,2859,12,2811,4,7,24,80.58207072,0.12590949,3174.081577,326104.0724
52,tract7404,11001007404,3310,41,3165,4,8,64,199.1240547,0.31113134,4988.203673,805826.4642
53,tract7406,11001007406,3063,20,2984,5,2,71,91.35431258,0.14274111,2600.357547,369697.7888
54,tract7407,11001007407,2587,32,2499,3,11,36,150.8889619,0.235764,4692.193111,610625.9683
55,tract7408,11001007408,3038,32,2964,7,4,32,94.49100834,0.1476422,3911.211868,382391.5462
56,tract7409,11001007409,3499,20,3417,3,6,34,98.28496087,0.15357025,3046.210809,397745.1275
57,tract7502,11001007502,4541,43,4380,4,8,57,152.1498118,0.23773408,4792.907479,615728.4468
58,tract4600,11001004600,3028,816,1964,3,97,221,107.9646249,0.16869473,2900.631832,436917.3382
59,tract4701,11001004701,3986,595,2754,19,530,108,79.37474624,0.12402304,2917.412572,321218.2035
60,tract4702,11001004702,1802,703,853,0,158,95,80.1862984,0.12529109,2950.758095,324502.4386
61,tract4801,11001004801,2143,847,961,9,123,191,78.44606933,0.12257198,2458.972701,317459.9814
62,tract4802,11001004802,2922,866,1464,16,369,223,71.1905918,0.1112353,2192.317601,288098.1054
63,tract4901,11001004901,2087,793,1075,14,94,178,67.17793143,0.10496552,2112.98851,271859.4448
64,tract4902,11001004902,2690,1330,812,11,166,468,65.20095982,0.1018765,2052.282436,263858.9246
