STREETSEGID,BIKEINCIDENTS,PEDINCIDENTS,PEDFATALITIES,LVL1,LVL2,LVL3,RISK_SUM,RISK_INDEX,
1831,1,1,0,0,1,0,3,1,
1833,3,8,0,1,2,0,7,2,
1839,0,1,0,0,0,0,0,1,
1841,3,2,0,0,2,1,9,2,
1843,0,3,0,0,0,0,0,1,
1845,2,0,0,1,1,0,4,1,
1850,0,2,0,0,0,0,0,1,
1852,1,1,0,0,1,0,3,1,
1855,1,0,0,0,1,0,3,1,
1858,0,1,0,0,0,0,0,1,
1868,0,1,0,0,0,0,0,1,
1874,1,0,0,1,0,0,1,1,
1875,2,0,0,0,1,1,6,2,
1876,0,3,0,0,0,0,0,1,
1877,0,2,0,0,0,0,0,1,
1878,0,1,0,0,0,0,0,1,
1882,1,0,0,0,0,1,3,1,
1883,0,1,0,0,0,0,0,1,
1884,1,3,0,0,1,0,3,1,
1893,0,2,0,0,0,0,0,1,
1897,1,0,0,0,1,0,3,1,
1903,0,1,0,0,0,0,0,1,
1904,0,1,0,0,0,0,0,1,
1912,1,2,0,0,1,0,3,1,
1920,0,2,0,0,0,0,0,1,
1921,2,0,0,1,1,0,4,1,
1929,1,2,0,1,0,0,1,1,
1934,2,3,0,0,2,0,6,2,
1935,1,0,0,1,0,0,1,1,
1936,4,0,0,0,4,0,12,3,
1939,2,0,0,2,0,0,2,1,
1945,0,1,0,0,0,0,0,1,
1946,1,1,0,0,1,0,3,1,
1951,2,0,0,0,2,0,6,2,
1964,0,1,0,0,0,0,0,1,
1970,0,1,0,0,0,0,0,1,
1971,0,1,0,0,0,0,0,1,
1972,1,1,0,0,1,0,3,1,
1973,3,2,0,1,2,0,7,2,
1974,0,1,0,0,0,0,0,1,
1976,1,1,0,1,0,0,1,1,
1977,0,1,0,0,0,0,0,1,
1978,0,2,0,0,0,0,0,1,
1983,1,2,0,0,1,0,3,1,
1986,1,0,0,0,1,0,3,1,
1988,0,1,0,0,0,0,0,1,
1992,0,1,0,0,0,0,0,1,
1993,0,1,0,0,0,0,0,1,
1999,3,0,0,0,3,0,9,2,
2004,1,0,0,0,1,0,3,1,
2005,1,1,0,0,1,0,3,1,
2007,2,1,0,0,2,0,6,2,
2008,0,1,0,0,0,0,0,1,
2011,0,1,0,0,0,0,0,1,
2016,0,3,1,0,0,0,0,1,
2027,2,2,0,0,1,1,6,2,
2031,0,2,0,0,0,0,0,1,
2032,0,3,0,0,0,0,0,1,
2039,1,0,0,0,1,0,3,1,
2041,2,0,0,0,2,0,6,2,
2042,1,0,0,0,1,0,3,1,
2046,0,1,0,0,0,0,0,1,
2051,0,1,0,0,0,0,0,1,
2053,1,1,0,1,0,0,1,1,
2058,1,0,0,0,1,0,3,1,
2059,0,1,0,0,0,0,0,1,
2060,1,0,0,0,1,0,3,1,
2063,0,1,0,0,0,0,0,1,
2065,6,3,0,1,5,0,16,3,
2066,1,0,0,0,0,1,3,1,
2068,0,1,0,0,0,0,0,1,
2071,1,0,0,0,1,0,3,1,
2078,3,4,0,0,2,1,9,2,
2079,0,2,0,0,0,0,0,1,
2081,0,1,0,0,0,0,0,1,
2084,0,1,0,0,0,0,0,1,
2088,0,1,0,0,0,0,0,1,
2090,1,0,0,0,1,0,3,1,
2094,0,1,0,0,0,0,0,1,
2096,0,3,0,0,0,0,0,1,
2101,1,0,0,1,0,0,1,1,
2103,0,2,1,0,0,0,0,1,
2107,2,3,0,1,1,0,4,1,
2114,0,1,0,0,0,0,0,1,
2115,1,2,0,0,1,0,3,1,
2121,2,0,0,1,1,0,4,1,
2122,1,1,0,1,0,0,1,1,
2123,0,2,0,0,0,0,0,1,
2127,1,2,0,0,1,0,3,1,
2129,1,0,0,0,1,0,3,1,
2133,1,2,0,0,1,0,3,1,
2134,0,1,0,0,0,0,0,1,
2139,2,2,0,1,1,0,4,1,
2140,0,1,0,0,0,0,0,1,
2142,0,1,0,0,0,0,0,1,
2146,0,1,0,0,0,0,0,1,
2151,1,0,0,0,1,0,3,1,
2155,0,1,0,0,0,0,0,1,
2157,1,0,0,0,1,0,3,1,
2158,1,0,0,0,1,0,3,1,
2167,0,2,0,0,0,0,0,1,
2169,1,0,0,0,1,0,3,1,
2172,0,1,0,0,0,0,0,1,
2174,0,1,0,0,0,0,0,1,
2176,4,2,0,1,3,0,10,2,
2181,1,3,0,0,1,0,3,1,
2188,1,2,0,1,0,0,1,1,
2194,1,0,0,1,0,0,1,1,
2197,2,0,0,0,2,0,6,2,
2202,0,1,0,0,0,0,0,1,
2204,3,2,0,1,1,1,7,2,
2206,0,1,0,0,0,0,0,1,
2208,1,0,0,0,1,0,3,1,
2215,1,0,0,0,1,0,3,1,
2219,1,1,0,0,1,0,3,1,
2221,4,2,0,0,4,0,12,3,
2222,1,2,0,0,1,0,3,1,
2224,0,1,0,0,0,0,0,1,
2241,0,1,0,0,0,0,0,1,
2245,1,0,0,0,0,1,3,1,
2248,0,1,0,0,0,0,0,1,
2253,1,1,0,0,1,0,3,1,
2262,0,1,0,0,0,0,0,1,
2264,1,0,0,0,1,0,3,1,
2267,0,2,0,0,0,0,0,1,
2277,1,0,0,0,1,0,3,1,
2282,0,1,0,0,0,0,0,1,
2283,1,0,0,0,1,0,3,1,
2286,1,0,0,0,1,0,3,1,
2287,2,2,0,0,2,0,6,2,
2291,0,1,0,0,0,0,0,1,
2295,1,0,0,0,1,0,3,1,
2297,2,2,0,1,1,0,4,1,
2298,0,1,0,0,0,0,0,1,
2301,0,1,0,0,0,0,0,1,
2303,3,6,0,0,3,0,9,2,
2304,1,0,0,0,1,0,3,1,
2319,0,1,0,0,0,0,0,1,
2320,0,2,0,0,0,0,0,1,
2323,1,1,0,0,1,0,3,1,
2327,0,2,0,0,0,0,0,1,
2329,8,3,0,1,6,1,22,3,
2330,5,1,0,1,4,0,13,3,
2331,7,4,0,2,5,0,17,3,
2336,0,1,0,0,0,0,0,1,
2338,1,0,0,0,1,0,3,1,
2339,3,0,0,1,2,0,7,2,
2341,2,1,0,1,1,0,4,1,
2342,0,1,0,0,0,0,0,1,
2344,1,0,0,0,1,0,3,1,
2346,1,0,0,0,1,0,3,1,
2349,0,1,0,0,0,0,0,1,
2353,1,0,0,0,1,0,3,1,
2355,1,2,0,1,0,0,1,1,
2358,0,1,0,0,0,0,0,1,
2360,2,2,0,0,1,1,6,2,
2361,0,1,0,0,0,0,0,1,
2368,1,2,0,0,1,0,3,1,
2370,0,2,0,0,0,0,0,1,
2382,0,1,0,0,0,0,0,1,
2383,0,3,0,0,0,0,0,1,
2392,2,4,0,1,1,0,4,1,
2398,0,1,0,0,0,0,0,1,
2400,0,1,0,0,0,0,0,1,
2404,0,1,0,0,0,0,0,1,
2405,0,4,0,0,0,0,0,1,
2407,0,1,0,0,0,0,0,1,
2415,0,5,0,0,0,0,0,1,
2418,0,1,0,0,0,0,0,1,
2419,1,0,0,1,0,0,1,1,
2420,0,1,0,0,0,0,0,1,
2427,3,1,0,1,2,0,7,2,
2431,0,1,0,0,0,0,0,1,
2432,1,0,0,0,1,0,3,1,
2435,1,0,0,1,0,0,1,1,
2438,2,1,0,1,1,0,4,1,
2440,1,0,0,0,1,0,3,1,
2446,0,3,0,0,0,0,0,1,
2451,0,1,0,0,0,0,0,1,
2458,0,1,0,0,0,0,0,1,
2470,1,1,0,0,1,0,3,1,
2473,0,1,0,0,0,0,0,1,
2475,0,1,0,0,0,0,0,1,
2483,0,2,0,0,0,0,0,1,
2491,0,2,0,0,0,0,0,1,
2497,1,1,0,1,0,0,1,1,
2500,0,1,0,0,0,0,0,1,
2503,1,1,0,0,1,0,3,1,
2509,1,4,0,0,0,1,3,1,
2512,1,0,0,1,0,0,1,1,
2518,1,0,0,0,1,0,3,1,
2520,2,3,1,1,0,1,4,1,
2521,0,1,0,0,0,0,0,1,
2526,0,1,0,0,0,0,0,1,
2529,1,1,0,1,0,0,1,1,
2530,1,0,0,0,1,0,3,1,
2533,0,1,0,0,0,0,0,1,
2536,0,1,0,0,0,0,0,1,
2539,0,2,0,0,0,0,0,1,
2540,1,3,0,0,1,0,3,1,
2542,1,0,0,0,1,0,3,1,
2543,0,1,0,0,0,0,0,1,
2546,0,1,0,0,0,0,0,1,
